yamaha,Crypton X, YF05F190


yamaha,Fazer 600, HYA033 
yamaha,Fazer 600, 4S8-00 
yamaha,Fazer 600, 36P-00 
yamaha,Fazer 600, 5VX-00 
yamaha,Fazer 600, 5VX-30

yamaha,FZ1, 2D1-8591A-00 
yamaha,FZ1, 2D1-8591A-01 
yamaha,FZ1, 2D1-8591A-20 
yamaha,FZ1, 2D1-8591A-90 
yamaha,FZ1, 3C3-8591A-40 
yamaha,FZ1, 3C3-8591A-80 
yamaha,FZ1, 2D1-8591A-D0 
yamaha,FZ1, 2D1-8591A-C0 
yamaha,FZ1, 2D1-8591A-50


yamaha,FZ8, 39P-8591A-00 
yamaha,FZ8, 59P-8591A-00 
yamaha,FZ8, 59P-8591A-20

yamaha,MT-07, 1XB-8591A-00 
yamaha,MT-07, 1XB-8591A-30 
yamaha,MT-07, 1XB-8591A-40 
yamaha,MT-07, 1XB-8591A-50 
yamaha,MT-07, 1XB-8591A-70 
yamaha,MT-07, B34-8591A-00 
yamaha,MT-07, B34-8591A-00 
yamaha,MT-07, 1WS-8591A-00 
yamaha,MT-07, 2RC-8591A-20 
yamaha,MT-07, 2RC-8591A-21 
yamaha,MT-07, BAT-8591A-00 
yamaha,MT-07, BAT-8591A-10 
yamaha,MT-07, BAT-8591A-50 
yamaha,MT-07,  BAT-8591A-60 
yamaha,MT-07, BU2-8591A-10 
yamaha,MT-07, BAT-9591A-11 
yamaha,MT-07, BAT-9591A-01 
yamaha,MT-07, BAT-8591A-20 
yamaha,MT-07, BAT-8591A-30 
yamaha,MT-07, 1WS-8591A-10


yamaha,MT-09 / Tracer / SP, 1RC-8591A-00 
yamaha,MT-09 / Tracer / SP, 2DR-8591A-00 
yamaha,MT-09 / Tracer / SP, 2DR-8591A-01 
yamaha,MT-09 / Tracer / SP, 2DR-8591A-10 
yamaha,MT-09 / Tracer / SP, 2DR-8591A-40 
yamaha,MT-09 / Tracer / SP, 2SC-8591A-00 
yamaha,MT-09 / Tracer / SP, 2SC-8591A-60 
yamaha,MT-09 / Tracer / SP, 2SC-8591A-80 
yamaha,MT-09 / Tracer / SP, BS2-8591A-00 
yamaha,MT-09 / Tracer / SP, BS2-8591A-10 
yamaha,MT-09 / Tracer / SP, BS2-8591A-11 
yamaha,MT-09 / Tracer / SP, BS2-8591A-20 
yamaha,MT-09 / Tracer / SP, B1J-8591A-00 
yamaha,MT-09 / Tracer / SP, B1J-8591A-10 
yamaha,MT-09 / Tracer / SP, B5C-8591A-00 
yamaha,MT-09 / Tracer / SP, B5C-8591A-10 
yamaha,MT-09 / Tracer / SP, BAP-8591A-00 
